,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,Globularity,PBF,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge
0,3,1,4,2,4,2,0.5766351140426705,1.103173055585189,94.93,2.7128000000000005,69.60070000000003,258.281,0.38461538461538464,0.7368421052631579,0.39022874425901555,19,2,4,6,1,0.2727272727272727,0,0
1,5,2,7,1,5,1,0.524845735654562,1.1531886042092003,124.38999999999999,3.1488000000000014,79.74550000000004,306.3219999999997,0.42857142857142855,0.2727272727272727,0.4920937204977347,22,1,6,6,1,0.0,0,0
2,7,4,11,2,8,0,0.5655261573659803,1.1257644449337028,148.14,-0.1929000000000004,69.64320000000004,297.2669999999997,0.5,0.6190476190476191,0.34358830864521694,21,2,7,6,5,0.45454545454545453,0,0
3,2,0,2,1,5,0,0.6138954018603656,0.7188563667918193,57.989999999999995,2.548000000000001,50.711000000000034,177.20700000000008,0.3333333333333333,0.46153846153846156,0.3957749210411672,13,1,2,6,0,0.0,0,0
4,6,1,7,4,4,0,0.5587602189816724,1.1400568331154055,115.6,2.8772,83.94330000000004,344.30199999999985,0.375,0.68,0.5227040064950513,25,2,6,6,1,0.35714285714285715,0,0
5,7,1,8,4,4,0,0.5423470802978987,1.4264140219569041,122.49999999999999,3.690800000000002,102.50530000000002,430.3459999999999,0.21052631578947367,0.7096774193548387,0.38597548066303705,31,3,7,6,1,0.2222222222222222,0,0
6,4,1,5,2,2,0,0.6433384622829751,0.6134551019677671,87.67,1.8929,51.48540000000001,195.2510000000001,0.5714285714285714,0.6923076923076923,0.4210415991831365,13,1,4,6,1,0.5714285714285714,0,0
7,2,0,2,2,3,0,0.5658237490980386,0.8938349746765488,52.00000000000001,3.614300000000002,64.37600000000003,216.2880000000001,0.5,0.8125,0.43225767527668957,16,2,2,6,0,0.5,0,0
8,3,0,3,1,4,0,0.6283492868625884,0.9298384033117492,75.06,2.8051000000000013,51.204500000000024,191.19000000000005,0.2222222222222222,0.42857142857142855,0.3185464996929147,14,1,3,6,0,0.0,0,0
9,1,0,1,3,1,0,0.6324225583261359,0.7860098841420066,48.760000000000005,4.199600000000003,63.49000000000003,207.23600000000005,0.07692307692307693,0.8125,0.3259882781309522,16,1,1,6,0,0.07692307692307693,0,0
10,2,0,2,1,4,0,0.6453590491252102,0.6845138668579421,57.99000000000001,2.3757,45.950000000000024,163.18000000000006,0.25,0.5,0.2907024283462941,12,1,2,6,0,0.0,0,0
